salary,companySize,district,work_year,company_name,position_name,positionAdvantage
24k-33k,500-2000人,朝阳区,3-5年,飞维美地信息技术（北京）有限公司,资深Python开发工程师,"美资互联网,技术导向,英文环境,硅谷文化"
20k-40k,500-2000人,朝阳区,1-3年,一点网聚科技有限公司,Python开发工程师,"弹性工作,发展空间大,千万级用户,行业独"
16k-30k,50-150人,朝阳区,1-3年,北京云英传奇技术有限公司,python工程师,大牛带队 快速成长
35k-70k,2000人以上,海淀区,5-10年,北京世纪好未来教育科技有限公司,Python后端架构师,"上市公司,大牛团队,福利优厚,晋升空间大"
25k-30k,150-500人,海淀区,5-10年,小小黛朵（北京）科技有限公司,python高级工程师,"团队氛围好,高速发展,福利多多"
15k-30k,150-500人,朝阳区,1年以下,北京数美时代科技有限公司,python研发工程师,"飞速发展,技术氛围浓,待遇好,发展快"
18k-35k,500-2000人,朝阳区,3-5年,北京猎户星空科技有限公司,Python开发工程师,牛人云集，优质福利
15k-30k,150-500人,朝阳区,1年以下,北京数美时代科技有限公司,python研发工程师,"飞速发展,技术氛围浓,大牛担任导"
30k-35k,50-150人,朝阳区,3-5年,北京富博智勇科技有限公司,python,五险一金
25k-40k,500-2000人,海淀区,5-10年,竞技世界（北京）网络技术有限公司,服务器开发工程师（nodejs/java/python/go,大牛云集，固定调薪，国内外出游，领导好
20k-35k,500-2000人,海淀区,1-3年,北京智者天下科技有限公司,Python 3 开发 (MJ000552),"三餐,健身房,mac"
15k-25k,500-2000人,海淀区,不限,零氪信息技术（北京）有限公司,Python工程师（北京）,"大公司,氛围好,成长快,不打卡"
